Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
SO,2.988,20.127176,4.36,3.149032,2.245454,13.137,0.042600002,0.388655,28289275920.0,Utilities—Regulated Electric
TVTY,-11.025,16.147058,-2.27,0.94657636,477.3913,9.414,,2.488445,2236510.8,Medical Care Facilities
ULVR.L,252.7,17.324892,,,871.2438,,0.0342,0.085801,13211931321.6,Household & Personal Products
TAL,-0.064,73.07693,2.05,11.4338,10.790855,2416.904,,0.117121,4228525697.344,Education & Training Services
SNA,10.695,16.64142,1.63,2.5302515,2.6660075,10.989,0.0276,1.287289,3619312481.4,Tools & Accessories
SNP,9.1,5.656044,,,0.5681016,,0.0849,1.057201,109690327449.59999,Oil & Gas Integrated
SSSS,0.225,65.155556,,224.27881,1.3047347,,0.059299998,1.6896,223753704.0,Asset Management
SN.L,44.6,37.073994,,3.09317,289.88428,17.419,0.0183,0.390704,5002265263.104,Medical Devices
VALE3.SA,3.042,30.627874,,2.7852044,2.45559,7.9,0.1034,0.900836,194639036113.92,Other Industrial Metals & Mining
ZTO,0.896,36.875,115.5,,5.1705794,,,0.267015,5465373338.88,Integrated Freight & Logistics
STAN.L,23,20.08261,,1.1277478,39.10099,,,1.304902,37283953961.984,Banks—Diversified
WYN.L,31.4,11.146497,,0.15278848,72.25433,7.128,0.04,1.180796,97127044.0,Agricultural Inputs
TGT,7.539,25.455631,1.49,1.0844309,7.2152042,12.021,0.014199999,0.968487,13319560041.216,Discount Stores
SYY,-0.042,23.644655,1.74,0.77578497,29.440096,22.568,0.0239,1.367121,1300902906.432,Food Distribution
T,1.52,19.032896,-5.07,1.1924067,1.1741548,7.344,0.0719,0.679621,175577517153.792,Telecom Services
WEGE3.SA,1,88.97,,11.409121,16.78046,65.276,0.0017,0.901234,11122217649.664,Specialty Industrial Machinery
SUZB3.SA,-11.466,21.670034,,2.9439595,65.075836,12.448,,0.852847,1334378548.352,Paper & Paper Products
UNH,16.028,21.683928,1.58,1.2824199,4.888117,14.227,0.014400001,0.743697,67462121352.192,Healthcare Plans
WNC,-1.589,22.76,18.84,0.5455416,2.2729692,13.519,0.0189,1.847689,397656002.0,Farm & Heavy Construction Machinery
URBN,-0.083,14.784531,-136.26,0.74109685,1.8282435,18.888,,1.615021,1431299536.8,Apparel Retail
V,4.888,41.32979,3.14,20.385195,13.790703,29.604,0.0063,0.956407,24840016320.0,Credit Services
UU.L,16.1,57.937885,,3.4983227,224.66281,13.192,0.045900002,0.188457,2831198976.0,Utilities—Regulated Water
TLW.L,-222,0.9848485,,0.29817218,,5.643,0.2309,2.390194,-138578861.56800002,Oil & Gas E&P
TR,0.878,34.32802,,4.187327,2.6247497,20.307,0.0119,-0.011554,451696436.3,Confectioners
TSN,5.86,11.351535,2.65,0.56192416,1.5699787,6.942,0.026800001,0.750525,12490379071.039999,Farm Products
VZ,4.42,13.002262,4.34,1.8525106,3.6549225,7.759,0.0437,0.398634,65067326908.416,Telecom Services
SIRI,0.236,25.29661,1.94,3.2060552,,14.693,0.0098,1.129726,-905143479.5519999,Broadcasting
