name,ticker,eps,pe,peg,ps,pb,valueToEbitda,debtToEbitda,beta,grossMargin,operatingMargin,netMargin,dividendYield,currentRatio,ROE,return1y,industryScore
Las Vegas Sands Corp.,LVS,-0.99,43.69,2.76,6.93,12.94,70.93,3.34,1.37,79.24%,27.57%,19.64%,NA,1.65,84.36%,-16.41%,7.31
Marriott International,MAR,0.54,228.44,54.39,13.31,174.08,44.3,9.66,1.83,75.51%,38.53%,23.69%,NA,0.47,555.95%,-12.92%,4.77
DOLLARAMA INC,DOL.TO,1.82,28.3,2.01,4.02,61.17,19.41,3.51,0.95,47.14%,22.65%,14.89%,0.36%,0.7,215.01%,14.68%,3.38
lululemon athletica inc.,LULU,4.26,81.29,4.28,11.09,20.87,48.04,1.26,1.23,55.87%,22.38%,16.22%,NA,2.91,31.09%,44.21%,0.69
"TJX Companies, Inc. (The)",TJX,0.62,107.57,32.46,2.41,14.43,44.42,3.44,0.94,35.6%,10.59%,7.84%,1.55%,1.24,58.77%,12.64%,0.55
Dollar General Corporation,DG,10.1,20.41,1.13,1.55,7.23,15.59,5.67,0.52,30.59%,8.42%,6.17%,0.7%,1.14,24.52%,34.95%,0.51
Ritchie Bros. Auctioneers Incor,RBA,1.57,40.18,5.2,5.25,7.19,23.48,4.82,1.13,51.02%,16.68%,11.3%,1.4%,1.36,15.49%,52.14%,0.42
LCI Industries,LCII,5.49,25.64,1.14,1.37,4.05,14.48,3.88,1.61,22.74%,8.36%,6.18%,2.09%,2.47,16.73%,33.08%,0.4
Restaurant Brands International,QSR,1.84,32.58,1.13,3.61,7.79,17.04,8.18,1.2,58.0%,36.18%,11.48%,3.46%,1.29,27.44%,2.21%,0.39
BorgWarner Inc.,BWA,1.76,24.32,2.37,1.19,2.2,8.44,2.95,1.75,20.66%,11.86%,7.34%,1.59%,1.65,15.68%,26.04%,0.31
Movado Group Inc.,MOV,-5.97,10.23,2.33,0.91,1.22,19.86,5.57,1.06,53.51%,6.12%,6.09%,1.93%,4.25,15.34%,18.15%,0.31
