name,ticker,eps,pe,peg,ps,pb,valueToEbitda,debtToEbitda,beta,grossMargin,operatingMargin,netMargin,dividendYield,currentRatio,ROE,return1y,industryScore
Moody's Corporation,MCO,9.6,27.77,2.53,9.43,33.46,20.29,4.15,1.17,71.28%,42.89%,29.45%,0.84%,1.92,95.0%,4.14%,285.26
Mr. Cooper Group Inc.,COOP,6.08,4.92,0.16,1.08,1.16,17.55,51.03,1.56,100.0%,11.16%,13.65%,NA,2.55,11.71%,139.01%,35.15
Intercontinental Exchange Inc.,ICE,3.63,30.85,2.28,11.09,3.3,22.93,24.28,0.68,100.0%,52.29%,37.16%,1.07%,0.99,10.16%,13.17%,31.25
"Lazard LTD. Lazard, LTD.",LAZ,2.55,17.06,2.33,1.89,6.57,NA,131.12,1.67,90.02%,18.16%,11.09%,4.33%,3.19,41.29%,9.38%,14.12
Mastercard Incorporated,MA,6.66,49.38,5.16,21.03,56.62,36.55,2.26,1.19,100.0%,57.26%,48.08%,0.53%,1.42,141.35%,3.88%,4.64
Visa Inc.,V,4.89,41.33,3.14,20.39,13.79,29.6,3.0,0.96,96.67%,64.66%,49.74%,0.63%,1.91,43.74%,1.66%,3.18
Public Storage,PSA,6.49,34.33,1.97,13.2,8.11,23.76,1.12,0.08,72.68%,52.62%,52.14%,3.59%,1.13,31.66%,3.14%,1.66
American Express Company,AXP,4.06,31.05,5.72,3.15,4.64,NA,147.52,1.36,68.33%,21.49%,16.9%,1.36%,1.75,30.9%,-1.31%,1.29
Artisan Partners Asset Manageme,APAM,2.99,17.64,0.81,4.9,22.31,10.14,2.58,1.91,49.94%,35.74%,19.59%,5.29%,2.09,107.71%,72.35%,1.13
Extra Space Storage Inc,EXR,3.37,34.27,5.49,11.17,6.24,23.83,6.49,0.19,74.21%,48.88%,31.82%,3.12%,0.42,17.27%,7.98%,0.86
Discover Financial Services,DFS,3.6,25.66,1.9,3.59,2.6,NA,NA,1.8,68.53%,18.16%,14.44%,1.91%,1.34,10.48%,25.66%,0.74
KKR & Co. Inc.,KKR,1.71,23.55,1.52,4.85,2.15,NA,619.08,1.42,100.0%,65.36%,25.36%,1.31%,1.66,18.83%,24.68%,0.71
Iron Mountain Incorporated (Del,IRM,0.46,65.54,15.91,2.08,9.27,13.73,8.7,0.82,56.99%,18.28%,6.27%,8.21%,0.63,28.52%,3.87%,0.68
The Blackstone Group Inc.,BX,1.13,57.65,1.72,9.85,7.37,NA,179.68,1.33,82.52%,47.26%,28.71%,2.94%,1.29,34.48%,9.14%,0.49
Allstate Corporation (The),ALL,14.28,7.73,1.39,0.76,1.33,4.58,13.04,0.81,27.95%,14.68%,10.85%,1.96%,0.72,19.16%,-5.19%,0.42
SEI Investments Company,SEIC,2.98,19.91,1.72,5.16,4.96,16.67,0.84,1.2,78.06%,27.87%,30.39%,1.25%,4.44,28.98%,-8.0%,0.4
Geo Group Inc (The) REIT,GEO,1.16,7.21,0.48,0.42,1.07,9.85,7.7,0.87,24.91%,12.12%,6.72%,11.56%,1.38,17.54%,-38.06%,0.39
AFLAC Incorporated,AFL,6.36,7.3,1.56,1.49,1.01,8.32,26.26,0.97,34.8%,20.95%,14.81%,2.84%,0.57,10.19%,-7.97%,0.18
Physicians Realty Trust,DOC,0.44,41.29,6.06,8.77,1.43,19.39,7.03,0.75,69.94%,26.71%,17.94%,5.05%,1.21,2.81%,0.47%,0.03
"Digital Realty Trust, Inc.",DLR,2.17,64.61,7.74,11.08,2.35,30.6,6.93,0.11,62.93%,19.75%,18.02%,3.19%,0.81,3.46%,17.63%,-0.06
"MetLife, Inc.",MET,6.1,8.33,2.44,0.7,0.63,14.95,81.97,1.35,29.42%,11.28%,8.47%,3.62%,1.06,8.1%,7.19%,-0.08
"PayPal Holdings, Inc.",PYPL,2.65,95.09,2.8,14.55,15.98,72.16,10.11,1.12,44.94%,15.7%,13.84%,NA,1.43,13.31%,120.47%,-0.11
"Prudential Financial, Inc.",PRU,-0.24,7.06,2.12,0.54,0.49,51.86,152.12,1.7,28.44%,7.75%,6.47%,5.33%,0.62,6.31%,-4.09%,-0.18
GREAT-WEST LIFECO INC,GWO.TO,2.74,11.06,2.71,0.52,1.34,-18.6,118.29,0.83,20.44%,7.11%,5.57%,5.78%,13.13,11.9%,-5.72%,-0.2
Boston Private Financial Holdin,BPFH,0.55,24.05,2.02,3.69,1.25,NA,NA,1.15,100.0%,20.1%,15.29%,1.81%,0.13,5.2%,21.0%,-12.4
UBS Group AG Registered,UBS,1.52,9.81,0.73,1.7,0.9,NA,809.06,1.21,100.0%,21.12%,14.88%,2.45%,0.66,7.24%,38.38%,-24.14
"Glacier Bancorp, Inc.",GBCI,2.57,19.93,1.86,7.06,2.17,NA,432.96,1.04,100.0%,45.17%,33.2%,2.43%,0.04,9.34%,24.7%,-27.21
"Citigroup, Inc.",C,4.87,12.58,7.62,2.19,0.71,NA,NA,1.95,100.0%,24.02%,19.48%,3.33%,0.59,6.31%,-14.59%,-27.59
